,episode,score,Q_sum
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,2.0,0.0,0.0
3,3.0,2.0,2.95
4,4.0,1.0,4.8525
5,5.0,1.0,5.8525
6,6.0,0.0,11.412374999999999
7,7.0,0.0,16.924749999999996
8,8.0,1.0,31.514499999999995
9,9.0,1.0,51.1223875
10,10.0,1.0,93.43280499999999
11,11.0,0.0,112.44344440625001
12,12.0,0.0,149.65233578046872
13,13.0,1.0,152.3670857804687
14,14.0,0.0,202.9976264210937
15,15.0,0.0,233.36881143671872
16,16.0,0.0,279.6658436554687
17,17.0,0.0,311.4238383742186
18,18.0,0.0,346.44392498359366
19,19.0,0.0,414.93360796718747
20,20.0,0.0,451.3439047007813
21,21.0,0.0,536.4522836179686
22,22.0,0.0,585.2898076921874
23,23.0,0.0,625.7860347563281
24,24.0,0.0,672.8025273423048
25,25.0,0.0,714.0148593158555
26,26.0,1.0,821.4688053942346
27,27.0,0.0,909.4869586767825
28,28.0,0.0,927.6538416071388
29,29.0,0.0,952.0892089178009
30,30.0,1.0,1112.0854895281875
31,31.0,1.0,1441.5742775021718
32,32.0,0.0,1775.1878109890463
33,33.0,0.0,2118.3585674001756
34,34.0,0.0,2461.705192333378
35,35.0,0.0,2804.1554629505436
36,36.0,0.0,3145.206794639189
37,37.0,0.0,3513.2083795062254
38,38.0,1.0,3890.336272128878
39,39.0,0.0,4189.859346015115
40,40.0,0.0,4547.969967169233
41,41.0,0.0,4924.978237829201
42,42.0,0.0,5304.338428578419
43,43.0,1.0,5624.909955765919
44,44.0,0.0,5996.545473535291
45,45.0,0.0,6355.849835754045
46,46.0,0.0,6677.382548970437
47,47.0,0.0,7067.883688595841
48,48.0,0.0,7382.619275620878
49,49.0,0.0,7768.258005213237
50,50.0,1.0,8126.624728399916
51,51.0,0.0,8521.82305820301
52,52.0,0.0,8902.333974162659
53,53.0,1.0,9274.74882416266
54,54.0,0.0,9602.504870307726
55,55.0,1.0,9985.948334542565
56,56.0,1.0,10374.200244318412
57,57.0,0.0,10779.00370352251
58,58.0,0.0,11172.713546229323
59,59.0,1.0,11554.420292623086
60,60.0,0.0,12159.514924266341
61,61.0,0.0,12887.220399223208
62,62.0,0.0,13620.673904156167
63,63.0,0.0,14362.147397355267
64,64.0,2.0,15084.028530027419
65,65.0,0.0,15818.693262103321
66,66.0,2.0,16421.33819261325
67,67.0,0.0,17006.726381071065
68,68.0,0.0,17729.641188866375
69,69.0,0.0,18426.814148272966
70,70.0,1.0,19145.64934594124
71,71.0,0.0,19892.635850814047
72,72.0,1.0,20475.931791458417
73,73.0,0.0,21136.76684729107
74,74.0,0.0,21862.020521702292
75,75.0,0.0,22600.53327904458
76,76.0,0.0,23313.07232620731
77,77.0,0.0,24047.35309126503
78,78.0,0.0,24794.890806604162
79,79.0,1.0,25320.52115037691
80,80.0,0.0,26073.744403781944
81,81.0,0.0,26665.86627358262
82,82.0,0.0,27302.392889341845
83,83.0,1.0,28028.84196306314
84,84.0,1.0,28695.161985989354
85,85.0,1.0,29408.765122035442
86,86.0,0.0,30076.962919879003
87,87.0,1.0,30738.228713368364
88,88.0,1.0,31454.509566740184
89,89.0,0.0,32141.270403124996
90,90.0,2.0,32881.96788229038
91,91.0,0.0,33637.508144878746
92,92.0,0.0,34392.78077686893
93,93.0,0.0,34984.42584596074
94,94.0,1.0,35714.90369874182
95,95.0,1.0,36433.881431026726
96,96.0,3.0,37211.15931909423
97,97.0,0.0,37987.283504301726
98,98.0,0.0,38755.26423784144
99,99.0,0.0,39363.67149851562
100,100.0,0.0,40198.21336225736
101,101.0,0.0,41141.54456845109
102,102.0,0.0,41993.49444391877
103,103.0,0.0,42815.459950619144
104,104.0,1.0,43721.62559778226
105,105.0,0.0,44446.31363966369
106,106.0,0.0,45365.430246314725
107,107.0,0.0,46326.1567802591
108,108.0,0.0,47292.87288248569
109,109.0,0.0,48083.51756179515
110,110.0,1.0,49026.70293157569
111,111.0,0.0,50018.39438085882
112,112.0,0.0,50799.78583932433
113,113.0,0.0,51815.72928494154
114,114.0,0.0,52778.495477724944
115,115.0,1.0,53756.3008410967
116,116.0,0.0,54698.38902047073
117,117.0,1.0,55631.88616084264
118,118.0,0.0,56582.479098491756
119,119.0,0.0,57377.288897159146
120,120.0,0.0,58416.925795933894
121,121.0,2.0,59327.47591932142
122,122.0,0.0,60294.43547798509
123,123.0,0.0,61280.70948782449
124,124.0,1.0,62321.029629036675
125,125.0,0.0,63382.958191338934
126,126.0,1.0,64398.88016615263
127,127.0,0.0,65294.39979302668
128,128.0,0.0,65983.52639853768
129,129.0,0.0,67007.10812918452
130,130.0,0.0,67993.94151346467
131,131.0,0.0,68957.6279634476
132,132.0,1.0,70013.68407637313
133,133.0,2.0,71017.2382959882
134,134.0,0.0,72162.04857540569
135,135.0,0.0,73268.62259945675
136,136.0,0.0,74232.26885810526
137,137.0,0.0,75184.10654250249
138,138.0,0.0,76342.81937798663
139,139.0,1.0,77318.76118557781
140,140.0,2.0,78416.94454881569
141,141.0,0.0,79528.90032496724
142,142.0,0.0,80555.62537182632
143,143.0,0.0,81583.66727851958
144,144.0,0.0,82623.72987587602
145,145.0,0.0,83645.61181944287
146,146.0,1.0,84739.98858140298
147,147.0,0.0,85881.19887326236
148,148.0,1.0,86942.6889026611
149,149.0,0.0,87978.89366873018
150,150.0,0.0,89079.2268600257
151,151.0,1.0,90084.96571994001
152,152.0,0.0,91082.90260541202
153,153.0,0.0,91932.06115753032
154,154.0,0.0,92757.59742604935
155,155.0,0.0,93906.76019106382
156,156.0,0.0,95120.82307712946
157,157.0,1.0,96292.82777953356
158,158.0,1.0,96985.86101844413
159,159.0,0.0,97867.03109994378
160,160.0,2.0,99069.58418378775
161,161.0,0.0,100302.5175670534
162,162.0,0.0,101338.95365917154
163,163.0,1.0,102479.14368220212
164,164.0,0.0,103634.45362286306
165,165.0,0.0,104786.48632483512
166,166.0,2.0,105851.3376471507
167,167.0,0.0,107093.55053561761
168,168.0,1.0,108077.85694804123
169,169.0,0.0,109468.09607284775
170,170.0,1.0,110750.43992124863
171,171.0,2.0,112002.49859213432
172,172.0,0.0,113379.78369459759
173,173.0,2.0,114686.14342181403
174,174.0,0.0,115784.60580426593
175,175.0,0.0,117129.88636690687
176,176.0,0.0,118248.11516338083
177,177.0,1.0,119601.1233776907
178,178.0,1.0,120754.46477464194
179,179.0,0.0,121857.13831678359
